,level_0,index,District_Key,District
0,0,598,TG_Adilabad,adilabad
1,1,326,MP_Agar Malwa,agar malwa
2,2,639,UP_Agra,agra
3,3,160,GJ_Ahmedabad,ahmedabad
4,4,377,MH_Ahmednagar,ahmednagar
5,5,439,MZ_Aizawl,aizawl
6,6,515,RJ_Ajmer,ajmer
7,7,378,MH_Akola,akola
8,8,309,KL_Alappuzha,alappuzha
9,9,640,UP_Aligarh,aligarh
10,10,727,WB_Alipurduar,alipurduar
11,11,327,MP_Alirajpur,alirajpur
12,12,714,UT_Almora,almora
13,13,516,RJ_Alwar,alwar
14,14,200,HR_Ambala,ambala
15,15,641,UP_Ambedkar Nagar,ambedkar nagar
16,16,642,UP_Amethi,amethi
17,17,379,MH_Amravati,amravati
18,18,161,GJ_Amreli,amreli
19,19,493,PB_Amritsar,amritsar
20,20,643,UP_Amroha,amroha
21,21,162,GJ_Anand,anand
22,22,4,AP_Anantapur,anantapur
23,23,234,JK_Anantnag,anantnag
24,24,459,OR_Angul,angul
25,25,17,AR_Anjaw,anjaw
26,26,328,MP_Anuppur,anuppur
27,27,76,BR_Araria,araria
28,28,163,GJ_Aravalli,aravalli
29,29,554,TN_Ariyalur,ariyalur
30,30,77,BR_Arwal,arwal
31,31,329,MP_Ashoknagar,ashoknagar
32,32,644,UP_Auraiya,auraiya
33,33,78,BR_Aurangabad,aurangabad
34,34,645,UP_Ayodhya,ayodhya
35,35,646,UP_Azamgarh,azamgarh
36,36,278,KA_Bagalkote,bagalkote
37,37,715,UT_Bageshwar,bageshwar
38,38,648,UP_Baghpat,baghpat
39,39,649,UP_Bahraich,bahraich
40,40,43,AS_Baksa,baksa
41,41,330,MP_Balaghat,balaghat
42,42,460,OR_Balangir,balangir
43,43,461,OR_Balasore,balasore
44,44,283,KA_Ballari,ballari
45,45,651,UP_Ballia,ballia
46,46,115,CT_Balod,balod
47,47,116,CT_Baloda Bazar,baloda bazar
48,48,117,CT_Balrampur,balrampur
49,49,119,CT_Bametara,bametara
50,50,164,GJ_Banaskantha,banaskantha
51,51,652,UP_Banda,banda
52,52,235,JK_Bandipora,bandipora
53,53,79,BR_Banka,banka
54,54,728,WB_Bankura,bankura
55,55,517,RJ_Banswara,banswara
56,56,653,UP_Barabanki,barabanki
57,57,236,JK_Baramulla,baramulla
58,58,518,RJ_Baran,baran
59,59,654,UP_Bareilly,bareilly
60,60,462,OR_Bargarh,bargarh
61,61,519,RJ_Barmer,barmer
62,62,494,PB_Barnala,barnala
63,63,44,AS_Barpeta,barpeta
64,64,331,MP_Barwani,barwani
65,65,118,CT_Bastar,bastar
66,66,655,UP_Basti,basti
67,67,495,PB_Bathinda,bathinda
68,68,381,MH_Beed,beed
69,69,80,BR_Begusarai,begusarai
70,70,282,KA_Belagavi,belagavi
71,71,279,KA_Bengaluru Rural,bengaluru rural
72,72,280,KA_Bengaluru Urban,bengaluru urban
73,73,332,MP_Betul,betul
74,74,656,UP_Bhadohi,bhadohi
75,75,599,TG_Bhadradri Kothagudem,bhadradri kothagudem
76,76,463,OR_Bhadrak,bhadrak
77,77,81,BR_Bhagalpur,bhagalpur
